customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost
129,122,sugar,2024-08-08,4,50,3,150
100,122,quaker oats,2024-08-05,6,212,9,1908
193,122,atta,2024-04-16,4,60,5,300
115,121,besan,2024-05-20,2,52,4,208
69,124,sugar,2024-06-01,11,50,9,450
29,124,besan,2024-08-12,11,52,8,416
149,123,clinic plus,2024-05-02,7,1.5,5,7.5
92,121,clinic plus,2024-04-03,2,1.5,7,10.5
78,123,atta,2024-05-27,9,60,8,480
76,121,besan,2024-04-11,1,52,6,312
108,123,quaker oats,2024-08-13,7,212,8,1696
88,124,maida,2024-05-05,12,20,4,80
33,122,quaker oats,2024-07-03,4,212,3,636
81,124,maida,2024-03-23,12,20,5,100
197,124,clinic plus,2024-06-02,11,1.5,7,10.5
83,123,refined oil,2024-04-11,9,110,9,990
143,124,nutrella,2024-06-10,10,40,2,80
84,121,atta,2024-04-26,1,60,5,300
20,121,nutrella,2024-05-28,3,40,9,360
166,123,meggi,2024-06-10,9,12,3,36
191,123,atta,2024-04-07,8,60,7,420
92,122,Rice,2024-04-28,4,70,1,70
7,122,refined oil,2024-07-10,5,110,5,550
20,121,clinic plus,2024-05-25,3,1.5,3,4.5
51,124,pasta,2024-07-03,12,15,10,150
89,124,Rice,2024-06-01,11,70,2,140
2,121,atta,2024-06-20,3,60,10,600
82,121,meggi,2024-03-26,3,12,10,120
56,122,besan,2024-05-27,6,52,7,364
48,121,maida,2024-06-02,3,20,7,140
44,123,clinic plus,2024-04-06,8,1.5,10,15.0
197,123,maida,2024-04-16,7,20,8,160
175,124,nutrella,2024-05-31,10,40,3,120
36,124,Rice,2024-08-05,11,70,6,420
88,121,clinic plus,2024-04-22,1,1.5,9,13.5
20,122,meggi,2024-04-29,5,12,3,36
168,121,pasta,2024-07-17,1,15,5,75
185,124,atta,2024-08-02,12,60,10,600
193,122,dantkanti,2024-04-13,4,100,10,1000
81,122,Rice,2024-04-07,4,70,7,490
87,121,refined oil,2024-05-10,1,110,8,880
3,122,quaker oats,2024-08-03,5,212,8,1696
58,122,nutrella,2024-07-01,6,40,8,320
113,122,atta,2024-04-16,5,60,5,300
40,123,meggi,2024-03-11,8,12,1,12
171,121,besan,2024-07-08,1,52,1,52
163,123,Rice,2024-05-23,9,70,1,70
173,124,quaker oats,2024-05-11,11,212,10,2120
50,122,maida,2024-06-06,5,20,7,140
62,124,refined oil,2024-07-04,12,110,9,990
153,123,atta,2024-07-11,7,60,2,120
103,124,clinic plus,2024-06-05,12,1.5,8,12.0
1,124,nutrella,2024-03-03,11,40,1,40
57,123,meggi,2024-04-28,8,12,5,60
162,122,quaker oats,2024-03-13,5,212,8,1696
26,124,atta,2024-06-10,12,60,5,300
14,121,pasta,2024-07-30,1,15,1,15
9,124,pasta,2024-07-09,12,15,8,120
163,121,nutrella,2024-06-12,1,40,2,80
197,124,nutrella,2024-06-11,10,40,8,320
186,124,Rice,2024-05-12,10,70,7,490
103,124,pasta,2024-07-10,12,15,5,75
130,122,meggi,2024-07-22,5,12,6,72
150,122,refined oil,2024-06-16,4,110,3,330
55,124,atta,2024-07-26,12,60,1,60
36,124,sugar,2024-05-05,10,50,7,350
31,124,pasta,2024-04-09,10,15,1,15
92,121,meggi,2024-04-11,1,12,9,108
65,121,dantkanti,2024-05-01,2,100,4,400
28,122,besan,2024-03-10,6,52,2,104
35,121,clinic plus,2024-04-11,1,1.5,1,1.5
194,123,besan,2024-06-18,8,52,10,520
194,121,quaker oats,2024-05-09,3,212,5,1060
96,123,sugar,2024-04-10,9,50,9,450
114,121,quaker oats,2024-03-25,2,212,7,1484
97,122,clinic plus,2024-03-21,4,1.5,5,7.5
43,121,nutrella,2024-03-25,2,40,5,200
175,122,besan,2024-03-08,4,52,1,52
178,121,meggi,2024-07-26,1,12,5,60
180,124,Rice,2024-07-20,11,70,5,350
173,122,maida,2024-04-09,5,20,8,160
136,123,atta,2024-04-04,9,60,8,480
180,122,Rice,2024-07-07,6,70,4,280
199,123,nutrella,2024-08-19,8,40,7,280
11,122,Rice,2024-03-17,5,70,5,350
126,122,besan,2024-05-23,4,52,8,416
61,121,refined oil,2024-03-20,2,110,4,440
90,124,besan,2024-08-14,12,52,5,260
148,123,atta,2024-03-27,9,60,4,240
83,123,clinic plus,2024-04-27,9,1.5,10,15.0
198,124,refined oil,2024-04-03,10,110,7,770
124,124,pasta,2024-05-02,10,15,9,135
6,123,clinic plus,2024-06-28,8,1.5,1,1.5
199,122,quaker oats,2024-04-25,4,212,5,1060
83,122,atta,2024-08-17,5,60,7,420
131,121,quaker oats,2024-06-14,3,212,4,848
87,124,atta,2024-08-19,12,60,8,480
146,121,quaker oats,2024-07-04,3,212,4,848
51,124,maida,2024-03-23,11,20,9,180
125,124,Rice,2024-07-16,12,70,7,490
32,122,refined oil,2024-04-21,4,110,2,220
174,123,sugar,2024-06-11,9,50,3,150
49,121,nutrella,2024-08-05,2,40,7,280
81,122,nutrella,2024-06-13,4,40,3,120
193,123,meggi,2024-05-20,7,12,3,36
152,123,quaker oats,2024-03-08,7,212,8,1696
172,122,sugar,2024-06-08,4,50,7,350
185,124,dantkanti,2024-05-05,10,100,6,600
141,123,clinic plus,2024-04-23,8,1.5,10,15.0
146,124,meggi,2024-07-16,11,12,6,72
70,122,atta,2024-05-28,5,60,6,360
158,122,sugar,2024-07-26,6,50,4,200
27,123,meggi,2024-05-06,8,12,9,108
85,123,dantkanti,2024-03-08,7,100,8,800
26,123,meggi,2024-06-23,7,12,6,72
192,122,pasta,2024-05-08,5,15,5,75
25,121,atta,2024-06-10,2,60,5,300
50,122,meggi,2024-08-05,6,12,10,120
107,122,pasta,2024-04-04,4,15,6,90
41,124,quaker oats,2024-07-23,12,212,1,212
67,123,dantkanti,2024-05-27,9,100,6,600
129,123,refined oil,2024-08-19,9,110,10,1100
54,123,Rice,2024-05-07,9,70,4,280
153,122,maida,2024-05-04,4,20,10,200
172,122,sugar,2024-04-26,6,50,3,150
57,124,sugar,2024-05-19,10,50,7,350
62,123,pasta,2024-07-29,8,15,4,60
158,121,sugar,2024-05-18,2,50,2,100
18,122,atta,2024-07-21,4,60,7,420
138,123,besan,2024-08-07,8,52,1,52
77,123,clinic plus,2024-03-28,8,1.5,10,15.0
30,122,pasta,2024-06-05,4,15,3,45
98,124,meggi,2024-06-30,10,12,3,36
33,124,nutrella,2024-06-12,11,40,9,360
53,122,pasta,2024-03-24,5,15,2,30
103,122,Rice,2024-06-01,4,70,6,420
85,122,refined oil,2024-04-14,5,110,8,880
7,121,sugar,2024-07-18,2,50,8,400
2,122,atta,2024-06-09,4,60,5,300
158,124,dantkanti,2024-08-09,12,100,3,300
78,123,meggi,2024-08-16,8,12,1,12
192,124,Rice,2024-03-26,12,70,4,280
178,123,nutrella,2024-06-07,8,40,7,280
195,122,dantkanti,2024-03-15,4,100,3,300
128,122,dantkanti,2024-04-05,6,100,6,600
31,121,dantkanti,2024-07-16,2,100,5,500
98,123,sugar,2024-07-01,7,50,9,450
137,121,quaker oats,2024-04-03,3,212,8,1696
178,123,refined oil,2024-08-14,7,110,10,1100
59,123,maida,2024-04-22,9,20,10,200
119,124,quaker oats,2024-07-06,12,212,1,212
88,124,pasta,2024-04-20,10,15,7,105
105,124,sugar,2024-03-21,11,50,8,400
17,122,quaker oats,2024-04-13,5,212,4,848
7,123,Rice,2024-04-05,8,70,2,140
20,122,dantkanti,2024-04-16,5,100,8,800
170,122,maida,2024-08-08,5,20,8,160
99,122,refined oil,2024-07-15,5,110,7,770
113,123,besan,2024-08-18,8,52,1,52
110,123,atta,2024-03-14,7,60,6,360
187,123,refined oil,2024-07-27,9,110,3,330
80,122,besan,2024-07-12,4,52,8,416
168,123,nutrella,2024-07-15,8,40,10,400
22,122,maida,2024-06-11,4,20,3,60
31,122,refined oil,2024-03-17,6,110,5,550
54,124,maida,2024-06-04,10,20,10,200
131,124,nutrella,2024-06-26,12,40,4,160
133,121,pasta,2024-07-26,3,15,8,120
52,121,atta,2024-04-21,1,60,9,540
175,124,besan,2024-05-07,10,52,8,416
177,123,besan,2024-03-17,9,52,7,364
178,123,quaker oats,2024-08-02,8,212,6,1272
120,122,clinic plus,2024-03-20,4,1.5,1,1.5
40,123,Rice,2024-06-29,8,70,1,70
158,124,quaker oats,2024-05-28,10,212,4,848
80,124,Rice,2024-08-07,12,70,6,420
98,123,meggi,2024-04-05,9,12,8,96
155,122,refined oil,2024-07-11,4,110,7,770
16,123,pasta,2024-07-01,7,15,1,15
79,124,atta,2024-07-01,11,60,10,600
115,124,maida,2024-05-20,11,20,3,60
183,123,maida,2024-05-22,9,20,4,80
113,123,refined oil,2024-08-11,7,110,7,770
163,121,besan,2024-03-03,1,52,7,364
194,121,maida,2024-03-15,1,20,4,80
121,123,Rice,2024-08-16,9,70,3,210
158,123,refined oil,2024-06-18,9,110,7,770
83,124,nutrella,2024-03-13,12,40,1,40
82,121,clinic plus,2024-04-02,3,1.5,10,15.0
87,123,nutrella,2024-05-01,7,40,1,40
15,124,atta,2024-03-22,12,60,7,420
47,121,meggi,2024-06-09,3,12,5,60
199,124,nutrella,2024-05-25,11,40,7,280
180,122,pasta,2024-03-07,4,15,1,15
53,123,sugar,2024-06-17,9,50,5,250
177,124,maida,2024-06-17,11,20,4,80
132,123,sugar,2024-06-21,7,50,3,150
53,123,meggi,2024-05-29,8,12,8,96
35,124,dantkanti,2024-04-16,10,100,9,900
15,121,besan,2024-06-14,2,52,8,416
144,122,maida,2024-06-25,6,20,9,180
61,122,sugar,2024-05-26,4,50,2,100
12,123,nutrella,2024-03-28,9,40,1,40
124,123,sugar,2024-07-13,7,50,5,250
37,123,besan,2024-03-25,8,52,6,312
8,121,nutrella,2024-07-24,3,40,5,200
77,121,atta,2024-06-17,2,60,8,480
13,124,dantkanti,2024-07-15,11,100,6,600
111,124,sugar,2024-03-07,10,50,7,350
20,122,meggi,2024-07-14,6,12,2,24
40,121,refined oil,2024-05-20,3,110,8,880
175,122,Rice,2024-06-05,6,70,2,140
45,123,quaker oats,2024-04-11,7,212,2,424
178,123,atta,2024-05-29,9,60,4,240
136,124,pasta,2024-08-20,10,15,9,135
20,124,pasta,2024-07-05,11,15,8,120
78,122,dantkanti,2024-03-22,6,100,5,500
172,122,refined oil,2024-07-16,6,110,5,550
58,122,clinic plus,2024-04-12,6,1.5,8,12.0
19,124,meggi,2024-07-13,12,12,3,36
72,121,clinic plus,2024-04-06,2,1.5,5,7.5
189,123,Rice,2024-07-20,8,70,6,420
8,121,pasta,2024-04-08,2,15,1,15
76,124,refined oil,2024-06-01,12,110,2,220
98,123,besan,2024-08-18,7,52,6,312
92,122,Rice,2024-07-21,6,70,6,420
127,121,atta,2024-03-16,1,60,4,240
29,123,pasta,2024-07-10,8,15,2,30
91,123,maida,2024-06-27,9,20,3,60
66,121,refined oil,2024-05-23,3,110,7,770
57,124,refined oil,2024-08-19,10,110,6,660
78,124,nutrella,2024-06-27,11,40,2,80
166,124,atta,2024-05-04,10,60,10,600
120,121,refined oil,2024-08-16,2,110,10,1100
99,124,clinic plus,2024-06-28,11,1.5,9,13.5
91,122,atta,2024-07-28,5,60,4,240
149,123,clinic plus,2024-06-19,7,1.5,3,4.5
189,123,quaker oats,2024-07-23,9,212,8,1696
187,123,pasta,2024-03-18,8,15,3,45
18,121,atta,2024-07-30,1,60,3,180
108,124,maida,2024-03-23,12,20,4,80
52,122,Rice,2024-06-03,4,70,2,140
142,122,refined oil,2024-05-13,4,110,2,220
166,122,nutrella,2024-04-30,6,40,3,120
57,123,refined oil,2024-04-09,7,110,3,330
179,122,dantkanti,2024-05-23,5,100,2,200
93,122,refined oil,2024-05-28,4,110,3,330
125,123,maida,2024-04-11,8,20,7,140
37,123,nutrella,2024-04-08,9,40,10,400
148,123,meggi,2024-08-13,8,12,9,108
152,123,besan,2024-07-23,7,52,3,156
142,124,sugar,2024-04-30,12,50,2,100
52,123,refined oil,2024-04-21,9,110,5,550
144,123,pasta,2024-08-03,9,15,1,15
32,122,refined oil,2024-06-27,5,110,6,660
1,124,besan,2024-07-12,12,52,6,312
84,121,dantkanti,2024-07-08,3,100,6,600
199,124,Rice,2024-08-20,11,70,8,560
79,122,besan,2024-04-22,6,52,4,208
83,123,pasta,2024-05-15,8,15,6,90
60,122,pasta,2024-05-02,4,15,9,135
107,123,nutrella,2024-06-05,9,40,1,40
147,124,besan,2024-04-28,12,52,8,416
176,122,dantkanti,2024-08-20,4,100,6,600
187,122,nutrella,2024-06-22,4,40,7,280
110,122,maida,2024-03-07,4,20,6,120
22,122,meggi,2024-04-06,5,12,2,24
27,122,besan,2024-06-18,4,52,2,104
71,123,refined oil,2024-05-09,7,110,3,330
150,122,Rice,2024-07-30,6,70,1,70
155,123,pasta,2024-04-20,7,15,10,150
84,123,besan,2024-04-30,8,52,6,312
31,121,pasta,2024-06-09,3,15,2,30
23,123,Rice,2024-07-01,8,70,1,70
68,124,meggi,2024-08-20,12,12,8,96
142,123,dantkanti,2024-06-09,8,100,8,800
179,123,refined oil,2024-05-27,8,110,8,880
161,123,sugar,2024-03-31,9,50,2,100
147,124,sugar,2024-08-10,12,50,7,350
88,123,dantkanti,2024-04-01,8,100,9,900
47,121,refined oil,2024-05-18,3,110,2,220
124,121,pasta,2024-05-01,3,15,1,15
51,124,atta,2024-06-15,12,60,10,600
108,124,maida,2024-06-15,11,20,6,120
139,122,dantkanti,2024-05-17,5,100,7,700
7,121,atta,2024-07-11,2,60,3,180
185,122,Rice,2024-05-16,4,70,2,140
139,123,quaker oats,2024-06-07,8,212,9,1908
96,124,clinic plus,2024-08-11,10,1.5,4,6.0
110,124,refined oil,2024-07-04,12,110,4,440
170,124,quaker oats,2024-04-23,10,212,5,1060
45,122,pasta,2024-06-01,5,15,10,150
68,124,atta,2024-05-29,11,60,4,240
168,121,meggi,2024-07-19,1,12,2,24
75,123,meggi,2024-03-23,9,12,8,96
110,123,atta,2024-07-11,7,60,4,240
121,121,maida,2024-07-20,2,20,10,200
147,121,refined oil,2024-06-08,2,110,7,770
106,122,sugar,2024-06-27,4,50,6,300
26,124,besan,2024-05-09,11,52,3,156
107,123,Rice,2024-08-01,9,70,10,700
63,121,pasta,2024-05-05,1,15,7,105
166,122,nutrella,2024-06-18,6,40,1,40
4,123,sugar,2024-07-26,9,50,4,200
56,124,besan,2024-07-25,10,52,3,156
80,123,atta,2024-05-14,9,60,10,600
60,122,meggi,2024-04-07,6,12,1,12
41,122,pasta,2024-06-23,6,15,5,75
93,121,besan,2024-03-05,2,52,8,416
84,122,refined oil,2024-04-03,6,110,3,330
32,124,pasta,2024-07-30,10,15,5,75
67,122,meggi,2024-03-30,4,12,9,108
153,124,dantkanti,2024-05-20,11,100,6,600
117,121,Rice,2024-06-16,2,70,6,420
7,124,dantkanti,2024-05-01,10,100,8,800
100,124,meggi,2024-04-23,10,12,6,72
83,124,quaker oats,2024-03-31,11,212,4,848
95,124,sugar,2024-04-12,12,50,2,100
94,122,meggi,2024-04-10,4,12,4,48
69,121,quaker oats,2024-04-11,3,212,1,212
52,124,atta,2024-03-16,10,60,4,240
73,124,Rice,2024-04-26,10,70,2,140
158,121,quaker oats,2024-08-17,1,212,9,1908
164,122,pasta,2024-08-19,6,15,2,30
139,124,clinic plus,2024-07-01,10,1.5,9,13.5
128,121,maida,2024-06-30,2,20,10,200
99,121,Rice,2024-03-07,2,70,1,70
12,124,sugar,2024-05-16,12,50,9,450
147,124,Rice,2024-07-07,10,70,9,630
125,121,maida,2024-05-08,1,20,5,100
176,124,meggi,2024-05-18,12,12,1,12
123,122,quaker oats,2024-07-20,4,212,5,1060
116,121,meggi,2024-07-04,3,12,4,48
108,121,maida,2024-03-17,2,20,7,140
111,121,pasta,2024-06-04,1,15,4,60
102,123,besan,2024-05-07,9,52,9,468
59,122,refined oil,2024-05-29,4,110,9,990
13,122,clinic plus,2024-03-30,4,1.5,10,15.0
161,124,atta,2024-08-16,10,60,10,600
76,124,sugar,2024-03-30,10,50,5,250
140,123,Rice,2024-07-24,7,70,3,210
147,124,refined oil,2024-08-10,12,110,4,440
190,123,besan,2024-04-18,7,52,8,416
3,122,Rice,2024-05-25,4,70,6,420
25,121,dantkanti,2024-08-15,1,100,4,400
114,121,atta,2024-06-23,1,60,7,420
6,123,pasta,2024-03-21,8,15,7,105
86,121,maida,2024-04-22,3,20,4,80
47,122,atta,2024-03-19,5,60,7,420
122,121,nutrella,2024-03-17,1,40,9,360
21,121,nutrella,2024-06-18,2,40,3,120
151,121,quaker oats,2024-04-11,3,212,7,1484
19,122,besan,2024-05-30,6,52,2,104
31,122,atta,2024-03-30,5,60,4,240
31,124,refined oil,2024-07-19,10,110,1,110
42,123,clinic plus,2024-07-26,7,1.5,7,10.5
26,121,maida,2024-05-22,2,20,10,200
157,122,meggi,2024-05-27,4,12,5,60
27,124,clinic plus,2024-07-09,10,1.5,4,6.0
17,122,quaker oats,2024-03-24,4,212,7,1484
99,123,besan,2024-04-01,9,52,5,260
170,121,atta,2024-03-12,2,60,1,60
142,121,quaker oats,2024-06-22,1,212,3,636
103,123,clinic plus,2024-06-02,9,1.5,9,13.5
20,123,quaker oats,2024-06-13,9,212,1,212
66,123,quaker oats,2024-06-12,9,212,6,1272
14,122,besan,2024-08-02,4,52,10,520
57,121,meggi,2024-07-14,3,12,1,12
111,124,nutrella,2024-04-25,10,40,9,360
54,121,nutrella,2024-07-18,2,40,8,320
186,121,refined oil,2024-03-19,2,110,6,660
37,122,refined oil,2024-06-13,6,110,8,880
167,124,atta,2024-04-02,12,60,3,180
48,123,meggi,2024-06-03,9,12,4,48
49,122,atta,2024-04-11,5,60,7,420
125,121,Rice,2024-08-12,3,70,4,280
112,124,quaker oats,2024-04-23,11,212,7,1484
173,124,atta,2024-04-11,12,60,8,480
190,124,nutrella,2024-06-12,10,40,3,120
166,123,refined oil,2024-06-21,9,110,2,220
10,123,nutrella,2024-04-06,9,40,4,160
176,124,sugar,2024-07-23,12,50,2,100
178,123,atta,2024-04-03,7,60,6,360
47,122,meggi,2024-04-26,6,12,8,96
60,122,sugar,2024-03-05,4,50,8,400
80,122,sugar,2024-03-07,6,50,7,350
183,121,refined oil,2024-03-15,3,110,10,1100
40,124,besan,2024-08-16,11,52,9,468
151,122,besan,2024-07-05,6,52,7,364
188,122,dantkanti,2024-08-09,4,100,1,100
61,124,atta,2024-04-05,11,60,9,540
31,122,besan,2024-03-10,6,52,10,520
73,123,pasta,2024-03-29,9,15,9,135
6,122,besan,2024-06-24,5,52,6,312
102,123,nutrella,2024-03-26,7,40,3,120
150,122,clinic plus,2024-05-03,4,1.5,8,12.0
180,122,Rice,2024-08-07,4,70,6,420
